id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL,label1,label2,cycle_norm
42.079273,101.505806,0.49368268,0.41125846,8.714449e-10,1.2701112e-09,0.31408274,0.29087242,0.38201973,4.175901e-09,0.99982125,0.74754226,0.1774699,0.2361367,3.1436753e-09,0.21826869,0.7892009,0.20883913,0.20932938,0.32702833,5.7669927e-09,0.37298936,1.2389156e-09,3.1492686e-09,0.65589184,0.6713845,132.15479,1.1327491e-18,5.6772125e-09,0.26085815
66.02222,154.96785,0.46920237,0.39192745,2.4297865e-06,1.2448638e-06,0.3489458,0.3343528,0.39736205,3.1460759e-06,0.98999333,0.6098654,0.25284293,0.22630331,1.9100235e-06,0.31215286,0.621752,0.22097363,0.17353387,0.3555891,3.3205733e-06,0.32330558,1.4291882e-06,1.386385e-06,0.5609344,0.59174925,76.32023,9.0099594e-10,6.658677e-05,0.42513674
21.093714,129.60335,0.4175064,0.29385954,1.7937485e-06,1.6994812e-06,0.29262465,0.42475125,0.515922,2.49088e-06,0.9802279,0.5361544,0.28593236,0.17998399,2.1021717e-06,0.4361987,0.49330977,0.28927618,0.1367222,0.44122994,3.0389815e-06,0.39128718,1.3882769e-06,2.9500472e-06,0.4202276,0.41689217,34.82401,3.0504941e-06,0.0024025308,0.39066368
84.52166,116.41399,0.48331207,0.478547,3.7504534e-11,5.162685e-11,0.29793712,0.2511711,0.30908987,1.5356766e-10,0.9999495,0.81489265,0.1365637,0.30017573,6.710538e-11,0.14804646,0.8369221,0.15162954,0.2717286,0.2618493,2.625616e-10,0.35573283,3.9930906e-11,6.347268e-11,0.7405072,0.7156596,174.12567,3.3854618e-22,2.3133477e-10,0.27504104
36.5519,73.195335,0.44699582,0.25970417,4.159916e-08,5.6467854e-08,0.30305246,0.3239404,0.34619895,8.2235495e-08,0.99926466,0.6734351,0.19318801,0.14924158,8.088662e-08,0.23392725,0.7094584,0.20814383,0.20563006,0.32411397,1.2594066e-07,0.33115247,4.1869967e-08,1.05860664e-07,0.60489315,0.6161962,122.93436,3.5581333e-14,7.611517e-07,0.19266109
17.518703,60.858433,0.45066136,0.20078343,2.9062448e-08,1.3334162e-08,0.26582977,0.2074852,0.30699646,6.449077e-08,0.99980044,0.7327898,0.1751428,0.20068303,3.7716642e-08,0.18711893,0.8148627,0.17318325,0.18179825,0.26985878,8.744044e-08,0.31356302,2.4740084e-08,5.9202982e-08,0.68830884,0.7225628,148.83769,3.9706604e-16,8.567183e-08,0.11425587
46.715733,72.21275,0.5417422,0.18396567,2.3911281e-11,2.942939e-11,0.24503905,0.21071559,0.28755847,8.061343e-11,0.9999716,0.8077506,0.12219645,0.2035607,5.667105e-11,0.15184696,0.8337799,0.1360368,0.23703502,0.23467922,1.8905903e-10,0.3358473,3.065196e-11,8.269308e-11,0.69488204,0.6921945,183.2975,1.8391347e-22,1.3981714e-10,0.15442607
17.708946,118.11559,0.4156564,0.22307038,1.0640918e-05,7.31711e-06,0.2830343,0.39288193,0.4640196,1.4449857e-05,0.9602962,0.52550226,0.25257108,0.17851442,1.5174867e-05,0.37965584,0.5351965,0.26170534,0.19448723,0.43460763,1.5825968e-05,0.37244356,1.0155509e-05,1.3250495e-05,0.43668598,0.43334845,39.7813,8.722649e-05,0.011188096,0.36698082
45.172466,51.738567,0.46946773,0.23165438,1.7009392e-09,1.1625623e-09,0.25113612,0.29453295,0.33155063,2.4843203e-09,0.9999264,0.8185581,0.16261606,0.26555517,2.6451354e-09,0.17033711,0.84527695,0.16736566,0.2332318,0.26973188,6.43875e-09,0.32236895,8.5404706e-10,3.4806806e-09,0.6483492,0.74198335,188.67628,5.2340014e-19,3.4437977e-09,0.123696856
10.109786,26.42481,0.44061562,0.081399575,1.216109e-10,4.7458572e-11,0.25425953,0.24759932,0.29893604,3.6273223e-10,0.9999921,0.7908963,0.16960783,0.19167571,2.6452604e-10,0.13585015,0.869816,0.16168952,0.23084249,0.22754075,5.205859e-10,0.2707564,1.0391363e-10,4.1228024e-10,0.6732516,0.7428452,213.01299,1.3870825e-21,3.0404032e-10,0.05347836
69.768295,104.53148,0.48235667,0.29934126,3.2686728e-10,5.057958e-10,0.3009465,0.27928358,0.3244093,1.0075464e-09,0.9998499,0.7676085,0.15410177,0.18154137,7.490363e-10,0.18143071,0.80072546,0.15673171,0.1980155,0.28858593,2.2690083e-09,0.3349329,4.5515477e-10,6.164743e-10,0.6737496,0.69853306,135.65948,1.2360162e-18,6.0448255e-09,0.29077542
23.475014,93.6124,0.477045,0.2665671,1.853445e-08,1.7355406e-08,0.26567915,0.29303613,0.31807142,4.403496e-08,0.9996334,0.7237993,0.20079696,0.2289422,3.259804e-08,0.19245327,0.7536992,0.17136759,0.24181958,0.2811744,5.3400218e-08,0.32307577,1.25451995e-08,3.6617703e-08,0.6275747,0.6239375,133.76517,7.387079e-16,1.8938728e-07,0.19383353
19.666697,45.329124,0.3885047,0.1672994,2.4560798e-09,1.6982874e-09,0.24797396,0.22957064,0.2952562,8.2699e-09,0.9999293,0.7462383,0.15382078,0.19502963,5.4621934e-09,0.17094296,0.825511,0.1598511,0.2047088,0.31047124,1.1216333e-08,0.26197174,1.3842392e-09,6.490339e-09,0.6044324,0.71040756,165.33922,5.3575727e-18,1.2673695e-08,0.07520714
15.613675,18.877893,0.4144648,0.069236234,1.902777e-15,9.630672e-16,0.20819242,0.1818101,0.27757412,6.8685715e-15,0.9999999,0.8902819,0.09338237,0.20023777,8.5550234e-15,0.098074846,0.94435745,0.13017944,0.25842756,0.20905745,2.3153922e-14,0.30557406,1.6527513e-15,1.1882459e-14,0.75624686,0.81405556,256.37268,5.2983678e-33,1.3938409e-15,0.02642701
58.803997,152.55579,0.38459855,0.3601833,6.266247e-06,6.482841e-06,0.2947696,0.38539562,0.45183936,7.314284e-06,0.95188403,0.505903,0.276419,0.18275954,7.2582293e-06,0.39437187,0.5059442,0.24927126,0.14564775,0.46773687,7.482639e-06,0.29080865,6.1474684e-06,5.18268e-06,0.4313066,0.43054143,32.997818,3.496772e-05,0.006988559,0.4677665
70.91952,122.21391,0.47598127,0.47097093,3.3462526e-09,3.9024104e-09,0.36585537,0.36857128,0.38751495,1.09271845e-08,0.999349,0.7026739,0.22791621,0.2565499,8.899901e-09,0.26533067,0.7132317,0.22836928,0.24334843,0.37979418,1.9073731e-08,0.38788715,4.494981e-09,6.8373267e-09,0.66662526,0.6680209,123.852615,1.0766639e-16,3.8813585e-08,0.31310734
74.64405,143.18254,0.4716483,0.44134748,7.1572785e-08,8.54377e-08,0.33177623,0.32762688,0.37539375,1.4691413e-07,0.99772745,0.7195609,0.2014426,0.24061382,1.0833718e-07,0.24016723,0.70692563,0.22309434,0.23073393,0.322843,1.5817194e-07,0.34700045,6.4201494e-08,1.0591862e-07,0.63532335,0.6032807,104.53213,1.07901535e-13,1.337859e-06,0.39182281
97.69299,103.015396,0.3287916,0.37974328,2.7383132e-10,5.6107473e-11,0.6796968,0.9036263,0.9651996,1.6562332e-10,0.99840295,0.36976883,0.7673551,0.058649696,2.3104109e-11,0.9389422,0.17703284,0.33788264,0.04092271,0.9633954,2.4949688e-11,0.48659024,8.074947e-11,7.641255e-11,0.24453034,0.11387848,0.15165068,1.0,1.9968357,0.498303
74.66993,94.107704,0.45455647,0.33426118,2.9042264e-09,2.855097e-09,0.320576,0.29789308,0.37158102,6.1023915e-09,0.9996727,0.7624388,0.1693795,0.21780291,5.1673696e-09,0.19549985,0.77779967,0.1753121,0.22325887,0.30201158,1.3175221e-08,0.30948982,2.952731e-09,5.605875e-09,0.62352335,0.676728,160.7296,3.5378333e-17,2.5900533e-08,0.23746994
44.527164,90.991005,0.4220809,0.344306,4.7425144e-09,5.4636415e-09,0.3166864,0.28004444,0.33178264,1.1135714e-08,0.99965996,0.7618082,0.16575058,0.21906507,1.2812704e-08,0.19647205,0.8099612,0.19560641,0.22907525,0.32682008,2.3948333e-08,0.32522193,6.8964225e-09,1.1029157e-08,0.6521364,0.6962655,149.0433,4.005313e-17,3.1818914e-08,0.20772472
82.69233,94.26397,0.5074513,0.443561,1.6270727e-14,3.456847e-14,0.28893402,0.2548627,0.29072234,8.613973e-14,0.9999983,0.87968266,0.10417845,0.309448,7.78754e-14,0.13885379,0.8932561,0.1310236,0.28374803,0.2782746,2.7390349e-13,0.35126504,3.362963e-14,5.865363e-14,0.7570627,0.7793993,166.68428,1.7992612e-29,5.6039873e-14,0.2238269
12.22199,81.63124,0.44770408,0.29580146,3.2366367e-07,2.205486e-07,0.27360985,0.30744088,0.35910076,6.322755e-07,0.9985372,0.60644126,0.22731188,0.18948536,6.631272e-07,0.2586511,0.73829144,0.22003357,0.19579642,0.32636645,1.4257384e-06,0.29953456,3.1159547e-07,5.864307e-07,0.61057156,0.63574904,115.61497,7.2370717e-13,3.622385e-06,0.18856342
37.735146,87.61528,0.43648696,0.33507943,2.3896416e-07,1.7762748e-07,0.3048757,0.3227021,0.3488366,6.1310885e-07,0.99805754,0.63848037,0.19885018,0.15664731,6.63341e-07,0.24778537,0.68043786,0.21056299,0.17236869,0.30591622,8.773678e-07,0.3365638,3.2844162e-07,4.8711684e-07,0.6332741,0.5903348,100.03152,4.614524e-12,6.2709632e-06,0.22686917
31.890509,95.75553,0.5098115,0.30193156,1.2099599e-07,8.6118966e-08,0.3363516,0.3230653,0.40681124,1.6594261e-07,0.9990073,0.6759444,0.18810008,0.16458297,2.1658043e-07,0.24232922,0.70586425,0.2019495,0.17068502,0.32097095,2.308926e-07,0.33270252,1.1509316e-07,2.1872148e-07,0.6038846,0.60307777,104.926544,5.462786e-13,1.9236359e-06,0.2213775
78.54023,76.802414,0.45538688,0.3153472,2.4341812e-11,2.2313498e-11,0.32318896,0.29215223,0.3721854,7.757754e-11,0.9999817,0.83038574,0.14999229,0.2209289,5.4287956e-11,0.19123548,0.84541035,0.15891938,0.24784763,0.32699448,1.6479772e-10,0.33764026,2.5644206e-11,4.0837785e-11,0.70545954,0.739037,203.04457,1.0490278e-21,2.3960725e-10,0.19278994
89.17928,133.64963,0.45042866,0.45062503,5.824991e-11,7.7207324e-11,0.31580666,0.3346427,0.4035193,1.3404197e-10,0.99977106,0.76467526,0.17543367,0.19264375,1.3437577e-10,0.18543491,0.7404848,0.16372517,0.19665404,0.32818416,3.225863e-10,0.29099613,8.400252e-11,8.438729e-11,0.62330323,0.68009233,107.31118,7.005043e-19,5.265376e-09,0.35521117
