cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,RUL,cycle_norm
82,0.5614872406265792,0.8257818973829404,-3.793145361123925e-05,-5.776101915246076e-05,0.3353919358588061,0.2754442383818833,0.29832200530637465,3.4396575445093404e-06,1.0000282632605844,0.675759776644732,0.19840148429161458,0.22739429911046688,4.2982186857640874e-05,0.25820437533723944,0.7416846786309071,0.2716770408727879,0.2166426705274217,0.36153087877838214,-1.0207919640072455e-05,0.33317434223871917,1.31157450205187e-05,5.3660713083116004e-05,0.5533428860081943,0.6417473662530462,120,0.25286807981815196
129,0.523852138694464,0.8719682847720672,-2.1041787023678406e-05,-1.9995661542949434e-06,0.4277452945000306,0.3695379749712682,0.4027580997088482,-2.6926395744173494e-05,1.0000127563571841,0.6327867044197715,0.2650937254553263,0.1906823462531647,2.2490771388294003e-06,0.3384830798792124,0.6611978424382502,0.3690817341243233,0.21696126124453022,0.3441961045355806,3.0186424958656455e-05,0.41643079498807556,-5.034413195879232e-05,-2.3852339584671184e-07,0.6818458749101967,0.607976451005167,98,0.3644354979371191
136,0.4462429694029124,0.8584965799567761,-4.02247788410178e-05,-2.3935833547671465e-05,0.4550012714366774,0.44926952675037735,0.42466949691500905,-5.559343176871986e-05,1.000044860844604,0.6146623443907795,0.22383012076422004,0.18880829603069346,8.886385806088519e-06,0.3482976836657817,0.7466858890752345,0.2821742885730999,0.24144898751052196,0.43566793433804873,-3.3342813822953966e-05,0.4167354077535787,5.1045717447845494e-05,-3.1889211344901994e-05,0.6268246649411151,0.590331369412858,62,0.12825022732307936
58,0.5417560165220769,0.8763802645617621,1.9504174872806328e-05,-6.158688746104045e-05,0.16676175922898873,0.23046381355383883,0.26773523580617586,1.0512858776852125e-05,1.0000111862568792,0.771269384633602,0.15761278037447757,0.1412944652534398,-2.534582444359666e-05,0.2246301220381962,0.753519914608213,0.23298794274503676,0.25430466627522796,0.3331065486127904,-3.4286188433243344e-05,0.3332560095391767,3.185583065483122e-05,3.4295497041773063e-06,0.7675289212240978,0.7103693207180861,115,0.21877069907642616
290,0.4517568665290478,0.8795177537496404,4.48366179359317e-05,2.3584231007236658e-05,0.8413508473905409,0.6495348512573774,0.878208573176773,6.298783559373315e-06,1.00018796272101,0.25333521530259095,0.6100783284505206,0.37478634001072114,-5.224525230720358e-05,0.7986188495262204,0.10493555796263726,0.47379380178635605,0.3917023832828864,0.7490856559992332,3.218677595167447e-05,0.7494790314240682,-2.8866604444402737e-05,8.107915083815878e-05,0.18414004989406507,0.19550997902142947,17,0.828997933924716
99,0.4173813767587522,0.86003368878175,2.1492944435920627e-05,2.3107063968601182e-05,0.41475972774020087,0.34157107820126575,0.3695017659807631,2.7517409656379315e-05,0.9999828766382335,0.7026898517747271,0.2739101398271785,0.18174589913584382,8.103324743316233e-06,0.37805528440662356,0.6446462582209159,0.2927634234509191,0.22800126418348898,0.3617499357538237,7.118674838137394e-07,0.3332243290246956,-8.906550006099259e-07,8.571852974254018e-06,0.7066641997488935,0.6256631472277275,158,0.1067838155502048
76,0.4410468128637423,0.8578193672436331,2.4162832126593173e-05,1.1737209478499938e-05,0.25485197193315556,0.3180759815689665,0.2766402771002203,-4.955871463762222e-05,0.9999339021145011,0.6702172309547673,0.22899500615244478,0.1962278283416221,-1.3542788318975785e-05,0.3278920903407804,0.7223583558724614,0.26778328081932234,0.21692048700068112,0.32464639876263846,-3.798546383447613e-05,0.33331394084193683,4.962065414672557e-05,-4.094626181066815e-05,0.5930603574173258,0.6455558151598276,127,0.15787818949742752
51,0.5174223287080505,0.8750662140102748,-2.8438808567542562e-05,-5.0375903295063603e-05,0.3779430839503383,0.33834416676440576,0.40682039432063943,-1.6837781843162452e-05,1.000137401227561,0.5657626721051039,0.2642726354236751,0.10956408147410773,-5.077677234131696e-05,0.36196890434876683,0.504011995623855,0.3238645279170168,0.12225169302865875,0.39946186921731963,-2.282716194616471e-05,0.4167793791478347,1.2800129634320074e-05,2.340755156780835e-05,0.46454701854730457,0.5962501690550813,118,0.14999738610846008
168,0.5120632880574665,0.864663425835823,9.720444603730209e-06,-5.370914749078965e-05,0.5277694050691134,0.4557080357446864,0.5568500516368466,-1.6977428480071103e-05,1.0001760906854646,0.47794840933128613,0.3451073379774521,0.22448710815135586,1.6688203452371958e-05,0.47968939586695447,0.6021603783086558,0.41133634620873166,0.2808849274907424,0.45774797028943753,4.971393039786278e-05,0.5001327747298856,-3.384167119627132e-06,-1.1518328204162473e-05,0.4267264811588785,0.5734100048332548,66,0.38374433048435885
138,0.5170136043673981,0.8486222544363736,5.126401947837533e-05,-5.9356605539652104e-05,0.5571001418332318,0.6411834778750906,0.7052863804811511,6.092863621239931e-06,1.0000409167653332,0.3351082161634462,0.39956169846992595,0.17116040184931375,3.9388950975903125e-06,0.63652197938324,0.22989193720890555,0.543547075088851,0.2723195201516353,0.731947657093197,-4.506968108923016e-06,0.6672083729132036,7.066523339060876e-05,-4.321202125400855e-05,0.3042803515727009,0.2976052549256949,16,0.5931606316229666
128,0.4973216669191941,0.8835043599100219,4.294011518098238e-05,2.387285896902568e-05,0.4333331466309407,0.476135066061729,0.39692347696098074,1.3908802655049726e-05,0.9999522411327211,0.6283526053917609,0.26122744345380783,0.1733800493080566,3.432053636397627e-05,0.38187484290561013,0.6124614357897274,0.28324163445888556,0.2010378539879252,0.4037999008876863,7.023913661198531e-06,0.4168800222420018,2.5159841255288993e-05,-6.493703511588007e-06,0.687717150854318,0.5470044614064489,101,0.28408422287554314
174,0.5423544222049869,0.8707005371272116,3.88105512869696e-05,3.1346282088181984e-05,0.587724284534412,0.5165804534363538,0.606761844294721,-1.727419549002888e-06,1.0000745162236095,0.45699299992879877,0.37431734839257413,0.19709942993814664,4.5036865201612646e-05,0.4902261340968302,0.45487532244154194,0.4147405698537485,0.2498188281192614,0.5279503371035384,-5.173734804947177e-05,0.5001167554873001,-1.760328104329911e-05,4.328822704526823e-05,0.38116545036070454,0.36086572614214785,54,0.5057757555066257
55,0.3947313360651871,0.8990112298443863,3.421465485872886e-05,-5.5048738937609925e-05,0.295605229785296,0.3338411493525045,0.25112390966105436,-2.770176036819659e-05,0.999959471007405,0.7324215981665564,0.20851873811971577,0.15031447067369366,3.7924552007712788e-06,0.21993450754512223,0.8587698351035055,0.13021021109923953,0.22018130586630708,0.3010367717538652,3.837165767338323e-05,0.333270386935925,-2.929196893162299e-06,3.6362049326147125e-05,0.6918693841066442,0.7328830729255257,152,0.06773279202223215
