id,cycle,setting1,setting2,setting3,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,label1,label2,cycle_norm
8.0,109.0,0.1724137931034482,0.5833333333333334,0.0,0.0,0.5090361445783174,0.5594070198386802,0.5038825118163395,0.0,1.0,0.528180354267306,0.5454545454549589,0.1136139280265595,0.0,0.5119047619047628,0.3262260127931853,0.4999999999995452,0.1050676024357528,0.6410157752981931,0.0,0.5,0.0,0.0,0.550387596899224,0.5314830157415074,0.0,0.0,0.2991689750692521
19.0,142.0,0.4540229885057471,0.5,0.0,0.0,0.7349397590361377,0.4647918029212974,0.574442943956786,0.0,1.0,0.2431561996779407,0.5151515151510466,0.0908642196894931,0.0,0.6607142857142883,0.2643923240938051,0.5735294117644116,0.1033646403137567,0.5594459407464427,0.0,0.6666666666666714,0.0,0.0,0.3333333333333321,0.518503175918255,1.0,1.0,0.3905817174515236
19.0,141.0,0.2586206896551724,0.25,0.0,0.0,0.6084337349397799,0.6187050359712245,0.6662727886563147,0.0,1.0,0.3107890499194781,0.5757575757579616,0.090280893834695,0.0,0.6369047619047628,0.3667377398720646,0.4999999999995452,0.1045515533078713,0.5352058484032369,0.0,0.4166666666666714,0.0,0.0,0.3875968992248033,0.3801436067384678,1.0,1.0,0.3878116343490305
15.0,201.0,0.3103448275862068,0.6666666666666667,0.0,0.0,0.7018072289156692,0.7056899934597851,0.6179945982444259,0.0,1.0,0.3832528180354302,0.5303030303030027,0.1064794041102032,0.0,0.7559523809523796,0.2878464818763149,0.5147058823527004,0.1071317989472575,0.6471719892266279,0.0,0.5833333333333357,0.0,0.0,0.3255813953488378,0.4411764705882319,1.0,2.0,0.554016620498615
12.0,148.0,0.293103448275862,0.75,0.0,0.0,0.5783132530120554,0.6773490298670168,0.6743754220121545,0.0,1.0,0.3204508856682793,0.5454545454549589,0.1104280714349812,0.0,0.4940476190476204,0.3496801705756951,0.4558823529409892,0.1294251212715451,0.5967679876875778,0.0,0.5,0.0,0.0,0.550387596899224,0.3540458436895903,1.0,1.0,0.407202216066482
22.0,118.0,0.5747126436781609,0.6666666666666667,0.0,0.0,0.5602409638554491,0.5807717462393782,0.5879473328831857,0.0,1.0,0.2818035426731029,0.4545454545450411,0.1169343982769532,0.0,0.6428571428571423,0.3773987206823079,0.4705882352936896,0.1054288368252613,0.4786456329357449,0.0,0.5,0.0,0.0,0.4651162790697682,0.5762220381110197,0.0,0.0,0.3240997229916897
8.0,114.0,0.5574712643678161,0.9166666666666669,0.0,0.0,0.5271084337349521,0.5203836930455665,0.5536799459824451,0.0,1.0,0.4669887278582934,0.4696969696969972,0.0843578928475281,0.0,0.5416666666666679,0.3432835820895406,0.4117647058819784,0.1261224068531348,0.5117352828010837,0.0,0.4166666666666714,0.0,0.0,0.3410852713178265,0.5575807787903884,0.0,0.0,0.3130193905817174
22.0,194.0,0.2528735632183908,0.8333333333333334,0.0,0.0,0.8012048192771033,0.6527141922825379,0.6823092505064174,0.0,1.0,0.3574879227053174,0.5454545454549589,0.1563762003051252,0.0,0.8273809523809526,0.2452025586353983,0.544117647058556,0.1460935081019698,0.5994613312812689,0.0,0.6666666666666714,0.0,0.0,0.379844961240309,0.2932891466445717,1.0,2.0,0.5346260387811634
22.0,181.0,0.5747126436781609,0.5,0.0,0.0,0.6265060240963862,0.5347721822542013,0.758946657663742,0.0,1.0,0.1900161030595768,0.5151515151510466,0.1294983397648792,0.0,0.5773809523809526,0.2793176972281372,0.544117647058556,0.1388688203116928,0.6914197768372432,0.0,0.6666666666666714,0.0,0.0,0.3410852713178265,0.3135874067937045,1.0,1.0,0.4986149584487535
18.0,85.0,0.2183908045977011,0.3333333333333333,0.0,0.0,0.2650602409638622,0.2666230651842198,0.3259621877110064,0.0,1.0,0.6586151368760227,0.1515151515150137,0.2173113165215809,0.0,0.2678571428571423,0.784648187633266,0.2058823529409892,0.2634946846939812,0.4393997691419784,0.0,0.3333333333333357,0.0,0.0,0.4961240310077528,0.6407069870201596,0.0,0.0,0.2326869806094182
